"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"59","ARB","2013","1A","Arab World",2013-01-01,"annual",NA,36035.7504137419,15548.2009045411,381702086
"60","ARB","2014","1A","Arab World",2014-01-01,"annual",NA,38762.2162423373,15902.7562456972,390043028
"61","ARE","2005","AE","United Arab Emirates",2005-01-01,"annual",NA,698.1,82205.9452673222,4579562
"62","ARE","2006","AE","United Arab Emirates",2006-01-01,"annual",NA,810.4,81305.3748081055,5242032
"63","ARE","2007","AE","United Arab Emirates",2007-01-01,"annual",NA,756.1,74698.2743802594,6044067
"64","ARE","2008","AE","United Arab Emirates",2008-01-01,"annual",NA,917.8,68902.1990517593,6894278
"65","ARE","2009","AE","United Arab Emirates",2009-01-01,"annual",NA,1024.7,59160.0018484339,7666393
"66","ARE","2010","AE","United Arab Emirates",2010-01-01,"annual",NA,1229.3,56415.0740513142,8270684
"67","ARE","2011","AE","United Arab Emirates",2011-01-01,"annual",0.48919,1427.8,58404.0155885493,8672475
"68","ARE","2012","AE","United Arab Emirates",2012-01-01,"annual",NA,1645.5,60914.8030820498,8900453
"69","ARE","2013","AE","United Arab Emirates",2013-01-01,"annual",NA,1775.6,64713.1312056033,9006263
"70","ARE","2014","AE","United Arab Emirates",2014-01-01,"annual",0.69384,1819,67420.1169869152,9070867
"71","ARG","2005","AR","Argentina",2005-01-01,"annual",0.41897,5009.2,13817.7140737884,39145488
"72","ARG","2006","AR","Argentina",2006-01-01,"annual",0.45021,5599.8,15227.5124961234,39558890
"73","ARG","2007","AR","Argentina",2007-01-01,"annual",0.45801,5755,16865.5447595212,39970224
"74","ARG","2008","AR","Argentina",2008-01-01,"annual",0.47041,6356.5,17711.4417867571,40382389
"75","ARG","2009","AR","Argentina",2009-01-01,"annual",0.58608,7017.4,16618.1208523782,40799407
